ORIGEM,DESTINO,DISTANCIA
SBFL,SBPA,363.59602049659935
SBCT,SBPA,534.165393051904
SBSP,SBPA,837.8312885422491
SBGR,SBPA,866.4755821197942
SBRJ,SBPA,1120.3322135764554
SBGL,SBPA,1122.2970266509665
SBCF,SBPA,1362.0287894975074
SBVT,SBPA,1538.9856644648237
SBBR,SBPA,1605.3145611196453
SBCG,SBPA,1117.0108242538608
SBCY,SBPA,1672.9616414709708
SBGO,SBPA,1499.505348206498
SBSV,SBPA,2313.566195314854
SBAR,SBPA,2568.255723185708
SBMO,SBPA,2781.909336550548
SBRF,SBPA,2962.7989445648495
SBJP,SBPA,3053.9455484344976
SBSG,SBPA,3162.313766605955
SBFZ,SBPA,3203.79473734863
SBTE,SBPA,2907.871018831835
SBSL,SBPA,3134.6129317247032
SBPJ,SBPA,2209.883257418514
SBJC,SBPA,3194.017477857775
SBMQ,SBPA,3340.9030275140426
SBEG,SBPA,3140.406047295591
SBBV,SBPA,3788.8277880538594
SBRB,SBPA,2831.651295216256
SBPV,SBPA,2711.4696629188943
SBPA,SBFL,363.59602049659935
SBCT,SBFL,246.4491456321453
SBSP,SBFL,488.1141092316865
SBGR,SBFL,515.7489434922612
SBRJ,SBFL,756.9929894908792
SBGL,SBFL,758.7968846634308
SBCF,SBFL,1008.4060561162902
SBVT,SBFL,1175.8008059610136
SBBR,SBFL,1314.1098866112588
SBCG,SBFL,1014.6788775378834
SBCY,SBFL,1548.1554200763537
SBGO,SBFL,1230.0379579165378
SBSV,SBFL,1953.985582524116
SBAR,SBFL,2208.6075015317056
SBMO,SBFL,2421.599697234697
SBRF,SBFL,2602.5181462326714
SBJP,SBFL,2694.816380398862
SBSG,SBFL,2805.8604009868027
SBFZ,SBFL,2861.1301837620736
SBTE,SBFL,2586.489527022521
SBSL,SBFL,2827.3354645431464
SBPJ,SBFL,1932.5482795531275
SBJC,SBFL,2923.2675658395315
SBMQ,SBFL,3094.560562727469
SBEG,SBFL,2999.949481763201
SBBV,SBFL,3634.004480996778
SBRB,SBFL,2832.381227197236
SBPV,SBFL,2653.607823910551
SBPA,SBCT,534.165393051904
SBFL,SBCT,246.4491456321453
SBSP,SBCT,330.7751327025088
SBGR,SBCT,359.4542830758464
SBRJ,SBCT,675.1966677946984
SBGL,SBCT,672.5965925693657
SBCF,SBCT,845.9522310153928
SBVT,SBCT,1082.2038586542724
SBBR,SBCT,1081.9286741328276
SBCG,SBCT,796.4409133252387
SBCY,SBCT,1314.4953457902886
SBGO,SBCT,989.6792384617515
SBSV,SBCT,1804.077081759204
SBAR,SBCT,2058.027243667176
SBMO,SBCT,2273.1707523124446
SBRF,SBCT,2453.4836664678974
SBJP,SBCT,2540.9572711352835
SBSG,SBCT,2643.243826610298
SBFZ,SBCT,2671.8438941074687
SBTE,SBCT,2374.570632951603
SBSL,SBCT,2605.6283491920035
SBPJ,SBCT,1696.1722662534407
SBJC,SBCT,2685.8325952617342
SBMQ,SBCT,2851.6629618886755
SBEG,SBCT,2758.623012327554
SBBV,SBCT,3390.187473851417
SBRB,SBCT,2632.999431577322
SBPV,SBCT,2433.3929361359183
SBPA,SBSP,837.8312885422491
SBFL,SBSP,488.1141092316865
SBCT,SBSP,330.7751327025088
SBGR,SBSP,29.013499147711872
SBRJ,SBSP,365.5691192468944
SBGL,SBSP,360.0293450016442
SBCF,SBSP,524.2709106818419
SBVT,SBSP,756.3264353316761
SBBR,SBSP,872.6414586552748
SBCG,SBSP,897.6398099004092
SBCY,SBSP,1329.1574459062465
SBGO,SBSP,822.6554586361777
SBSV,SBSP,1479.1683815511897
SBAR,SBSP,1733.6577343876022
SBMO,SBSP,1948.2228312032569
SBRF,SBSP,2128.8905049802124
SBJP,SBSP,2218.2877172475087
SBSG,SBSP,2324.759223096939
SBFZ,SBSP,2373.023872393224
SBTE,SBSP,2105.1742985573987
SBSL,SBSP,2354.5138979973412
SBPJ,SBSP,1493.4643094929359
SBJC,SBSP,2481.1405312094553
SBMQ,SBSP,2675.6297212205923
SBEG,SBSP,2704.962340146671
SBBV,SBSP,3312.4995921937534
SBRB,SBSP,2724.0332343932605
SBPV,SBSP,2472.780600573083
SBPA,SBGR,866.4755821197942
SBFL,SBGR,515.7489434922612
SBCT,SBGR,359.4542830758464
SBSP,SBGR,29.013499147711872
SBRJ,SBGR,342.9777561132009
SBGL,SBGR,336.8171797429079
SBCF,SBGR,495.56258524625764
SBVT,SBGR,729.2941157204945
SBBR,SBGR,854.1186895131519
SBCG,SBGR,907.5380012215196
SBCY,SBGR,1329.7327959102654
SBGO,SBGR,808.5627773797802
SBSV,SBGR,1450.191365613098
SBAR,SBGR,1704.690542648683
SBMO,SBGR,1919.2381387790049
SBRF,SBGR,2099.912292080464
SBJP,SBGR,2189.3647282908387
SBSG,SBGR,2296.00378959632
SBFZ,SBGR,2345.429438263003
SBTE,SBGR,2079.8001474977586
SBSL,SBGR,2330.5023769041472
SBPJ,SBGR,1474.1630018420828
SBJC,SBGR,2460.8775728248124
SBMQ,SBGR,2657.6739611960056
SBEG,SBGR,2697.4990524527398
SBBV,SBGR,3302.6047135194717
SBRB,SBGR,2729.245618873856
SBPV,SBGR,2473.646792089743
SBPA,SBRJ,1120.3322135764554
SBFL,SBRJ,756.9929894908792
SBCT,SBRJ,675.1966677946984
SBSP,SBRJ,365.5691192468944
SBGR,SBRJ,342.9777561132009
SBGL,SBRJ,13.562536203899427
SBCF,SBRJ,373.7378252614904
SBVT,SBRJ,418.88665439089766
SBBR,SBRJ,927.9062564343998
SBCG,SBRJ,1219.1826127095753
SBCY,SBRJ,1580.0373836184879
SBGO,SBRJ,942.2809568573042
SBSV,SBRJ,1222.819641300808
SBAR,SBRJ,1475.049930941615
SBMO,SBRJ,1683.8999470505462
SBRF,SBRJ,1864.206662366046
SBJP,SBRJ,1960.8903877110322
SBSG,SBRJ,2081.737914985714
SBFZ,SBRJ,2184.7435669474244
SBTE,SBRJ,1985.2133643197817
SBSL,SBRJ,2263.1849567017534
SBPJ,SBRJ,1507.3944994924182
SBJC,SBRJ,2461.379912629923
SBMQ,SBRJ,2692.3716135177788
SBEG,SBRJ,2862.111595468443
SBBV,SBRJ,3437.102336811246
SBRB,SBRJ,3003.0330078314405
SBPV,SBRJ,2716.096897903523
SBPA,SBGL,1122.2970266509665
SBFL,SBGL,758.7968846634308
SBCT,SBGL,672.5965925693657
SBSP,SBGL,360.0293450016442
SBGR,SBGL,336.8171797429079
SBRJ,SBGL,13.562536203899427
SBCF,SBGL,361.53683749783283
SBVT,SBGL,417.7446821284777
SBBR,SBGL,914.3972706539041
SBCG,SBGL,1208.9589166091062
SBCY,SBGL,1567.5805147176925
SBGO,SBGL,928.7682508802609
SBSV,SBGL,1216.9055374854079
SBAR,SBGL,1469.451025952953
SBMO,SBGL,1678.7230480642563
SBRF,SBGL,1859.1319809451447
SBJP,SBGL,1955.4745094609577
SBSG,SBGL,2075.6635607232556
SBFZ,SBGL,2176.460529589254
SBTE,SBGL,1974.764594152559
SBSL,SBGL,2252.1292402720474
SBPJ,SBGL,1494.3652215224533
SBJC,SBGL,2449.0103232416513
SBMQ,SBGL,2679.5355596687027
SBEG,SBGL,2848.574647643207
SBBV,SBGL,3423.553155344017
SBRB,SBGL,2990.934485052477
SBPV,SBGL,2703.3098543489373
SBPA,SBCF,1362.0287894975074
SBFL,SBCF,1008.4060561162902
SBCT,SBCF,845.9522310153928
SBSP,SBCF,524.2709106818419
SBGR,SBCF,495.56258524625764
SBRJ,SBCF,373.7378252614904
SBGL,SBCF,361.53683749783283
SBVT,SBCF,390.95923748890937
SBBR,SBCF,591.9443543801316
SBCG,SBCF,1121.8059741196103
SBCY,SBCF,1361.6556154852397
SBGO,SBCF,647.5200406469518
SBSV,SBCF,958.2634124697405
SBAR,SBCF,1212.0816111717454
SBMO,SBCF,1427.2830529693292
SBRF,SBCF,1607.5390174032023
SBJP,SBCF,1695.348388810798
SBSG,SBCF,1800.512167140047
SBFZ,SBCF,1858.4572182300976
SBTE,SBCF,1625.1127002276553
SBSL,SBCF,1896.0089445206454
SBPJ,SBCF,1140.2602555565127
SBJC,SBCF,2087.7523121932354
SBMQ,SBCF,2321.520360027794
SBEG,SBCF,2541.079282914487
SBBV,SBCF,3095.8958183724862
SBRB,SBCF,2788.7428252718064
SBPV,SBCF,2464.4560723198597
SBPA,SBVT,1538.9856644648237
SBFL,SBVT,1175.8008059610136
SBCT,SBVT,1082.2038586542724
SBSP,SBVT,756.3264353316761
SBGR,SBVT,729.2941157204945
SBRJ,SBVT,418.88665439089766
SBGL,SBVT,417.7446821284777
SBCF,SBVT,390.95923748890937
SBBR,SBVT,943.1231178445014
SBCG,SBVT,1499.3287852299436
SBCY,SBVT,1750.8746233673012
SBGO,SBVT,1024.7006325822013
